id,título,autor,género,año_publicación,calificación_promedio,num_calificaciones,1_estrella,2_estrellas,3_estrellas,4_estrellas,5_estrellas,copias,imagen,imagen_2
1,The Hunger Games,Suzanne Collins,Ficción,2008,4.34,4780653,66715,127936,560092,1481305,2706317,272,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",No Ficción,1997,4.44,4602479,75504,101676,455024,1156318,3011543,491,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg
3,Twilight,Stephenie Meyer,Fantasía,2005,3.57,3866839,456191,436802,793319,875073,1355439,100,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443s/41865.jpg
6,The Fault in Our Stars,John Green,Ciencia Ficción,2012,4.26,2346404,47994,92723,327550,698471,1311871,226,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg
12,Divergent,Veronica Roth,Ficción,2011,4.24,1903563,36315,82870,310297,673028,1114304,210,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
17,Catching Fire,Suzanne Collins,No Ficción,2009,4.3,1831039,10492,48030,262010,687238,980309,201,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",Fantasía,1999,4.53,1832823,6716,20413,166129,509447,1266670,376,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
20,Mockingjay,Suzanne Collins,Ciencia Ficción,2010,4.03,1719760,30144,110498,373060,618271,738775,239,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",Ficción,2003,4.46,1735368,9528,31577,180210,494427,1124806,307,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",No Ficción,1998,4.37,1779331,8253,42251,242345,548266,1065084,398,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",Fantasía,2000,4.53,1753043,6676,20210,151785,494926,1195045,332,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",Ciencia Ficción,2007,4.61,1746574,9363,22245,113646,383914,1318227,263,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",Ficción,2005,4.54,1678823,7308,21516,136333,459028,1161491,275,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,No Ficción,1950,4.19,1531800,19309,55542,262038,513366,734629,474,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
41,The Lightning Thief,Rick Riordan,Fantasía,2005,4.23,1366265,18303,48294,219638,435514,689365,159,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
47,The Book Thief,Markus Zusak,Ciencia Ficción,2005,4.36,1159741,17892,35360,135272,377218,722056,251,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
49,"New Moon (Twilight, #2)",Stephenie Meyer,Ficción,2006,3.52,1149630,102837,160660,294207,290612,350684,194,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
51,City of Bones,Cassandra Clare,No Ficción,2007,4.12,1154031,34122,65349,203466,356048,582814,178,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
52,Eclipse,Stephenie Meyer,Fantasía,2007,3.69,1134511,83094,124293,260763,309358,399134,185,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
53,Eragon,Christopher Paolini,Ciencia Ficción,2002,3.86,1104021,50563,88536,240157,337943,408032,217,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
62,Northern Lights,Philip Pullman,Ficción,1995,3.94,953970,38382,64591,198764,313147,380030,287,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
68,The Perks of Being a Wallflower,Stephen Chbosky,No Ficción,1999,4.21,888806,14286,38658,143440,297501,461020,128,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
69,Insurgent,Veronica Roth,Fantasía,2012,4.07,836362,10641,44620,182131,339977,369969,164,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
70,Ender's Game,Orson Scott Card,Ciencia Ficción,1985,4.3,813439,15330,27612,103439,264207,462829,224,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
73,The Host,Stephenie Meyer,Ficción,2008,3.84,749780,44215,62501,154906,227180,288758,161,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
74,Looking for Alaska,John Green,No Ficción,2005,4.09,783470,16940,44232,147324,262932,359857,187,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
77,Holes,"Louis Sachar, Louis Sachar",Fantasía,1998,3.93,747445,15495,43786,176946,269153,259257,130,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
88,Paper Towns,John Green,Ciencia Ficción,2008,3.88,461311,14105,47183,154479,223895,215609,178,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
90,The Outsiders,S.E. Hinton,Ficción,1967,4.06,659248,10178,34346,134244,227250,274419,156,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
91,The Maze Runner,James Dashner,No Ficción,2009,4.02,719925,15291,43370,150488,266698,302109,147,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
105,Allegiant,Veronica Roth,Fantasía,2013,3.63,463257,31626,78366,176061,192785,184388,153,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
117,A Wrinkle in Time,Madeleine L'Engle,Ciencia Ficción,1962,4.04,615907,17313,34988,119115,209745,268933,165,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
120,The Sisterhood of the Traveling Pants,Ann Brashares,Ficción,2001,3.75,525706,14996,42396,152024,177404,149784,93,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
133,Anne of Green Gables,L.M. Montgomery,No Ficción,1908,4.23,502247,8864,19531,80256,158725,265976,1314,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
134,City of Glass,Cassandra Clare,Fantasía,2009,4.34,593173,6646,17351,79202,179290,348071,122,https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg
139,Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,Ciencia Ficción,2011,3.89,613674,14920,45434,159227,234792,217849,155,https://images.gr-assets.com/books/1472782916m/9460487.jpg,https://images.gr-assets.com/books/1472782916s/9460487.jpg
147,Thirteen Reasons Why,Jay Asher,Ficción,2007,4.02,463783,15246,35668,105414,179197,235756,150,https://images.gr-assets.com/books/1333822506m/1217100.jpg,https://images.gr-assets.com/books/1333822506s/1217100.jpg
149,If I Stay,Gayle Forman,No Ficción,2009,3.96,503527,12666,34896,122977,190793,205755,130,https://images.gr-assets.com/books/1347462970m/4374400.jpg,https://images.gr-assets.com/books/1347462970s/4374400.jpg
151,The Sea of Monsters,Rick Riordan,Fantasía,2006,4.23,514932,2967,13884,91127,188988,253546,121,https://images.gr-assets.com/books/1400602661m/28186.jpg,https://images.gr-assets.com/books/1400602661s/28186.jpg
